epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1765,4.76108,21.9668,2.81516,0.00385,0.08638,0.00234,0.00077,4.6633,6.84674,2.51878,0.09003,3e-05,3e-05
2,206.152,4.61713,11.7348,2.57385,0.17579,0.40532,0.19386,0.07039,5.16139,5.50278,2.61701,0.0790621,6.2109e-05,6.2109e-05
3,352.008,4.43575,6.47811,2.49622,0.11772,0.63123,0.34017,0.11945,4.97504,4.9445,2.47025,0.0680933,9.32846e-05,9.32846e-05
4,465.767,4.52977,4.54663,2.68181,0.28049,0.30565,0.24537,0.08234,5.65236,6.20657,2.91069,0.0571235,0.000123527,0.000123527
5,586.285,4.33519,3.76053,2.58198,0.13738,0.65449,0.39445,0.12228,5.03387,4.64476,2.59428,0.0461528,0.000152835,0.000152835
6,656.371,4.31399,3.72534,2.64748,0.3037,0.39867,0.26114,0.07984,4.81199,3.68697,2.45798,0.0351812,0.000181211,0.000181211
7,781.055,4.21291,3.44691,2.50212,0.41074,0.34505,0.26301,0.08889,5.25326,3.2568,2.56565,0.0242087,0.000208653,0.000208653
8,875.469,4.07131,3.17316,2.47779,0.45435,0.45369,0.39256,0.1186,4.67678,3.7185,2.45217,0.0132352,0.000235161,0.000235161
9,971.294,4.1529,3.17001,2.49132,0.57519,0.6113,0.57806,0.2296,4.20591,2.40867,2.28582,0.00226074,0.000260736,0.000260736
10,1043.31,4.21814,3.70216,2.64505,0.50598,0.58472,0.47874,0.16963,4.42885,2.85106,2.41005,0.000261814,0.000261814,0.000261814
11,1145.19,4.18742,3.17685,2.47118,0.60695,0.6105,0.58576,0.23396,4.17091,2.81777,2.34222,0.000257571,0.000257571,0.000257571
12,1238.75,4.127,2.69385,2.48529,0.6573,0.57143,0.63099,0.22926,4.25068,2.57434,2.3733,0.000253329,0.000253329,0.000253329
13,1316.49,4.06626,2.81702,2.60938,0.54728,0.64452,0.58291,0.19119,4.31398,2.62138,2.34661,0.000249086,0.000249086,0.000249086
14,1397.39,4.06686,2.51027,2.53994,0.69003,0.67442,0.70351,0.28669,4.03477,2.24593,2.28533,0.000244843,0.000244843,0.000244843
15,1478.57,4.03553,2.58311,2.46014,0.39411,0.31894,0.29779,0.09817,5.32484,2.8812,2.60969,0.0002406,0.0002406,0.0002406
16,1560.23,4.06225,2.58974,2.41779,0.48748,0.57807,0.49479,0.15567,4.70918,3.60346,2.42207,0.000236357,0.000236357,0.000236357
17,1626.71,3.89516,2.61557,2.4813,0.58462,0.5237,0.53816,0.20157,4.50027,2.65068,2.35392,0.000232114,0.000232114,0.000232114
18,1695.37,3.88438,2.61043,2.49621,0.65755,0.70764,0.64063,0.25353,4.08476,2.26244,2.3337,0.000227871,0.000227871,0.000227871
19,1790.47,3.91123,2.4288,2.51959,0.73576,0.68439,0.7008,0.26943,4.13704,2.04497,2.3428,0.000223629,0.000223629,0.000223629
20,1866.12,3.77946,2.23307,2.43433,0.61915,0.66777,0.6554,0.27394,4.03463,2.04687,2.29273,0.000219386,0.000219386,0.000219386
21,1953.31,3.78811,2.17269,2.46815,0.43745,0.51495,0.38818,0.11779,4.87974,2.66101,2.50586,0.000215143,0.000215143,0.000215143
22,2034.53,3.90238,2.15632,2.42728,0.71568,0.62458,0.659,0.27371,4.11022,2.17977,2.28624,0.0002109,0.0002109,0.0002109
23,2103.21,3.75948,2.07748,2.42256,0.68993,0.59468,0.60442,0.23655,4.27054,2.2998,2.3348,0.000206657,0.000206657,0.000206657
24,2174.2,3.66934,1.94316,2.35461,0.71074,0.55508,0.62558,0.25141,4.29329,2.31069,2.3264,0.000202414,0.000202414,0.000202414
25,2264.55,3.71141,2.15634,2.39967,0.61996,0.62458,0.63821,0.25608,4.1644,2.02366,2.34216,0.000198171,0.000198171,0.000198171
26,2340.85,3.62212,2.00255,2.33871,0.70895,0.67979,0.7041,0.29795,3.95666,2.00933,2.27268,0.000193929,0.000193929,0.000193929
27,2428.31,3.52707,1.86985,2.38728,0.71745,0.68106,0.70799,0.28935,3.99609,1.95411,2.27203,0.000189686,0.000189686,0.000189686
28,2509.87,3.52852,1.84256,2.31738,0.65068,0.61267,0.6055,0.22978,4.37413,2.05737,2.3043,0.000185443,0.000185443,0.000185443
29,2573.04,3.53572,1.83079,2.3383,0.72005,0.64452,0.67189,0.27711,4.09027,1.97526,2.28853,0.0001812,0.0001812,0.0001812
30,2635.03,3.44996,1.81913,2.21567,0.74673,0.61462,0.69273,0.29588,4.07034,1.95305,2.28569,0.000176957,0.000176957,0.000176957
31,2714.81,3.47132,1.75469,2.23492,0.7447,0.65898,0.72975,0.31695,3.81479,1.92057,2.19924,0.000172714,0.000172714,0.000172714
32,2778.68,3.45991,1.76049,2.28539,0.72629,0.68439,0.7369,0.33021,3.79669,1.86388,2.1894,0.000168471,0.000168471,0.000168471
33,2861.28,3.30719,1.72909,2.22157,0.708,0.65248,0.69069,0.28467,4.04343,1.90438,2.23183,0.000164229,0.000164229,0.000164229
34,2920.76,3.40951,1.70429,2.23325,0.73326,0.65755,0.70964,0.3198,3.88908,1.89077,2.20958,0.000159986,0.000159986,0.000159986
35,2984.58,3.26331,1.60735,2.16941,0.69359,0.66113,0.67244,0.27557,4.18119,1.95579,2.26045,0.000155743,0.000155743,0.000155743
36,3041.22,3.29712,1.73475,2.21171,0.75016,0.65449,0.7174,0.31689,3.94116,1.80525,2.19994,0.0001515,0.0001515,0.0001515
37,3119.5,3.33812,1.63573,2.18046,0.76667,0.71096,0.75328,0.34547,3.71736,1.70702,2.17669,0.000147257,0.000147257,0.000147257
38,3178.92,3.27856,1.56,2.22443,0.78761,0.66528,0.74995,0.33021,3.81416,1.77405,2.1886,0.000143014,0.000143014,0.000143014
39,3249.04,3.21878,1.56042,2.14116,0.73178,0.69103,0.72571,0.30803,3.95261,1.8579,2.2078,0.000138771,0.000138771,0.000138771
40,3310.45,3.20428,1.54196,2.13319,0.76173,0.76744,0.79926,0.36508,3.64967,1.66903,2.13277,0.000134529,0.000134529,0.000134529
41,3381.74,3.04328,1.52738,2.08869,0.7286,0.77741,0.79773,0.37418,3.58977,1.64585,2.12069,0.000130286,0.000130286,0.000130286
42,3440.29,3.09006,1.52381,2.0763,0.77834,0.74419,0.81373,0.39381,3.55351,1.60961,2.10518,0.000126043,0.000126043,0.000126043
